ORIG_FID,Flood_Sum,Aspect_Mea,Dem_Mean,Dem_Std,Slope_Mean,Impervious,WaterBody_,WorldPop_M,evp2021,pre2021,prs2021,rhu2021,Light_N,HenanPr,rain0715,rain0716,rain0717,rain0718,rain0719,rain0720,rain0721,rain0722,rain0723,rain0724,rain0725,Join_Count,FloodArea,Label,newLabel
29657,76,177.3280029,369.2609863,15.8500004,7.8754601,919,0,0,1256.160034,1354.880005,974.5230103,59.8941002,5.7247701,106.2009964,0,0,0,0,73.0427017,106.2009964,49.7126007,0,0,0,0,0,76,,
29658,98,180.3849945,386.5289917,10.9349003,7.7302098,559,0,0.492126,1255.640015,1362.52002,973.1829834,59.9361,5.7289801,107.2289963,0,0,0,0,72.847702,107.2289963,49.776001,0,0,0,0,0,98,,
29659,25,136.302002,406.3580017,11.7077999,7.26443,658,0,1.89027,1254.849976,1370.540039,971.6049805,59.987999,2.1062801,108.2570038,0,0,0,0,72.6526031,108.2570038,49.8395004,0,0,0,0,0,25,,
29660,6,141.7429962,386.651001,14.8649998,11.5812998,197,0,0,1254,1378.699951,969.9660034,60.0421982,0.892477,109.2850037,0,0,0,0,72.4576035,109.2850037,49.9029999,0,0,0,0,0,6,,
29661,252,286.4700012,422.7200012,12.7200003,5.0950899,1374,0,0.782968,1240.089966,1302.540039,970.9710083,60.1483002,1.1933,104.6090012,0,0,0,0,68.0926971,104.6090012,49.0001984,0,0,0,0,0,#N/A,,
29662,231,301.5589905,406.1080017,8.9014997,4.0363102,359,0,3.2680099,1241.48999,1307.130005,971.2800293,60.1221008,1.14884,103.5709991,0,0,0,0,69.3000031,103.5709991,49.0541992,0,0,0,0,0,#N/A,,
29663,629,268.7789917,394.0109863,4.9821701,2.5094299,83,0,0.324281,1242.680054,1312.050049,971.4140015,60.1035995,1.09282,102.5319977,0,0,0,0,70.5073013,102.5319977,49.1082001,0,0,0,0,0,#N/A,,
29664,123,225.1589966,400.3200073,4.3244801,1.92896,235,0,5.9768,1243.800049,1317.109985,971.4799805,60.0876999,1.08443,101.4940033,0,0,0,0,71.7145004,101.4940033,49.1622009,0,0,0,0,0,#N/A,,
29665,126,223.473999,410.2600098,5.3062301,2.5480001,974,0,8.03125,1244.01001,1323.869995,970.7420044,60.101799,1.06168,100.4550018,0,0,0,0,72.9217987,100.4550018,49.2162018,0,0,0,0,0,#N/A,,
29666,71,182.3890076,407.9020081,11.7725,5.6982298,458,0,4.46766,1244.319946,1330.439941,970.0880127,60.1130981,1.0154099,99.4166031,0,0,0,0,74.129097,99.4166031,49.2701988,0,0,0,0,0,#N/A,,
